culture,snippet,type,translation,status_signal,notes
Bay Area Rationalist / EA,Bad epistemics,phrase,Pejorative for unrigorous belief formation — often deployed against opponents,Common dismissal framing,Standard pejorative
Bay Area Rationalist / EA,Truth-seeking,vocabulary,Standard rationalist self-positioning as oriented toward truth above other considerations,Standard self-positioning framing,Common phrasing
Bay Area Rationalist / EA,I'm trying to be truth-seeking,phrase,Direct self-positioning,Standard rationalist framing — sometimes legitimate sometimes used to override emotional concerns,Common pattern
Bay Area Rationalist / EA,Crux / cruxes,vocabulary,The specific belief that would change your view if changed — central CFAR vocabulary,Specific CFAR/rationalist concept,Major in-group vocabulary
Bay Area Rationalist / EA,What's your crux?,question,He's asking what would change your mind — sometimes legitimate sometimes pressure,Standard rationalist conversation framing,Common probe
Bay Area Rationalist / EA,Doublecrux,vocabulary,Specific CFAR technique for resolving disagreement by finding shared cruxes,Specific CFAR practice,Specific technique
Bay Area Rationalist / EA,Decoupling / high-decoupling,vocabulary,Ability to separate logical content from social or emotional context — claimed rationalist virtue,Specific rationalist virtue framing,Major in-group concept
Bay Area Rationalist / EA,I'm high-decoupling,phrase,Self-positioning as able to separate logic from emotion,Standard self-positioning — sometimes used to override emotional concerns,Common pattern
Bay Area Rationalist / EA,Mistake theory vs conflict theory,phrase,Scott Alexander framework — disagreements as mistakes vs as conflicts of interest,Specific rationalist framework,Specific concept
Bay Area Rationalist / EA,I think it's a mistake-theory issue,phrase,Direct framework deployment,Standard rationalist framing,Common usage
Bay Area Rationalist / EA,Alignment / alignment problem,vocabulary,Specific technical problem of getting AI to do what we want,Specific technical vocabulary,Major concept
Bay Area Rationalist / EA,Neglectedness / tractability / scale,phrase,EA framework for evaluating causes — ITN framework,Foundational EA analytical framework,Major framework
Bay Area Rationalist / EA,I donate through GiveWell,phrase,Standard EA practice signal,Standard active-EA signal,Common practice
Bay Area Rationalist / EA,Berkeley,lifestyle marker,Central rationalist community location,Direct geographic-community signal,Major location
Bay Area Rationalist / EA,Berkeley group house,lifestyle marker,Specific residential arrangement type in community,Direct lifestyle-marker signal,Specific arrangement
Bay Area Rationalist / EA,Oakland (specific neighborhoods),lifestyle marker,Adjacent community presence,Standard community signal,Common location
Bay Area Rationalist / EA,Group house,vocabulary,Multi-adult residential arrangement common in community,Foundational residential-pattern signal,Major lifestyle marker
Bay Area Rationalist / EA,I live in a group house,phrase,Direct community-residential identification,Direct lifestyle signal,Common phrasing
Bay Area Rationalist / EA,Burning Man (specific camps),lifestyle marker,Specific rationalist-aligned camps at Burning Man,Standard community-event signal,Common crossover
Bay Area Rationalist / EA,Polyamorous / poly,vocabulary,Common relationship structure within community,High baseline rate in community,Major crossover
Bay Area Rationalist / EA,Relationship anarchy / RA,phrase,Specific relationship-philosophy with high community uptake,Specific sub-camp framing,Common crossover
Bay Area Rationalist / EA,Compersion,vocabulary,Polyamory term — joy at partner's other relationships,Standard poly vocabulary deployed in community,Crossover vocabulary
Bay Area Rationalist / EA,Don't ask don't tell / DADT,phrase,Specific poly arrangement,Standard poly vocabulary,Crossover concept
Bay Area Rationalist / EA,Hierarchical vs non-hierarchical poly,phrase,Specific poly relationship-structure distinction,Standard poly vocabulary,Crossover concept
Bay Area Rationalist / EA,Metamour,vocabulary,Your partner's other partner,Standard poly vocabulary,Crossover concept
Bay Area Rationalist / EA,Nootropics / I take nootropics,lifestyle marker,Cognitive-enhancement supplement use — common in community,Standard community-lifestyle signal,Common practice
Bay Area Rationalist / EA,Modafinil / Provigil,lifestyle marker,Specific nootropic stimulant common in community,Specific substance signal,Common practice
Bay Area Rationalist / EA,Microdosing (LSD or psilocybin),lifestyle marker,Specific psychedelic practice with rationalist-community uptake,Standard community-lifestyle signal,Common practice
Bay Area Rationalist / EA,Macrodosing,phrase,Full-dose psychedelic experience,Specific community practice,Common framing
Bay Area Rationalist / EA,Heroic dose,phrase,Very large psychedelic dose,Specific community-practice signal,Specific framing
Bay Area Rationalist / EA,Soylent,lifestyle marker,Meal-replacement specifically tech/rat community,Standard community-lifestyle signal,Common practice
Bay Area Rationalist / EA,Huel,lifestyle marker,British equivalent meal-replacement,Standard community-lifestyle signal,Common practice
Bay Area Rationalist / EA,Quantified self / QS,phrase,Self-tracking practices common in community,Standard community practice,Specific lifestyle
Bay Area Rationalist / EA,I track my [sleep / heart rate / mood],phrase,Direct quantified-self practice signal,Standard community lifestyle signal,Common phrasing
Bay Area Rationalist / EA,Sleep optimization,phrase,Standard rationalist-optimization framing,Standard community framing,Common phrasing
Bay Area Rationalist / EA,Productivity stack,phrase,Apps/practices for output optimization,Standard community framing,Common phrasing
Bay Area Rationalist / EA,Anki,lifestyle marker,Specific spaced-repetition flashcard app common in community,Standard community-tool signal,Specific tool
Bay Area Rationalist / EA,Beeminder,lifestyle marker,Goal-tracking app with rationalist-community origins,Standard community-tool signal,Specific tool
Bay Area Rationalist / EA,Roam Research / Obsidian / Logseq,lifestyle marker,Specific note-taking tools with rationalist community uptake,Standard community-tool signal,Common tools
Bay Area Rationalist / EA,Patagonia fleece / vest,status signal,Standard tech-and-EA aesthetic — sometimes specifically the company-branded vests,Standard community-aesthetic signal,Common signal
Bay Area Rationalist / EA,Tevas / Birkenstocks,status signal,Standard community-aesthetic footwear,Standard community-aesthetic signal,Common signal
Bay Area Rationalist / EA,Backpack instead of briefcase,status signal,Standard community-aesthetic,Standard community-aesthetic signal,Common signal
Bay Area Rationalist / EA,It seems like...,vocabulary,Standard rationalist hedge pattern — typically followed by claim,Standard verbal pattern,Specific verbal tic
Bay Area Rationalist / EA,I'd weakly guess...,phrase,Hedging-rationalist verbal pattern,Standard verbal pattern,Specific verbal tic
Bay Area Rationalist / EA,Strong opinion weakly held / weakly held strong opinions,phrase,Specific rationalist verbal posture,Standard verbal pattern,Common phrasing
Bay Area Rationalist / EA,Modulo / mod / modulo X,vocabulary,Math-derived qualifier meaning 'except for' — heavy community deployment,Standard math-derived verbal pattern,Specific verbal tic
Bay Area Rationalist / EA,Modulo concerns about [X],phrase,Standard community verbal pattern,Standard verbal pattern,Common phrasing
Bay Area Rationalist / EA,Modulo the obvious objections,phrase,Same pattern,Standard verbal pattern,Common phrasing
Bay Area Rationalist / EA,Tractable / intractable,vocabulary,Whether problem is solvable — EA-framework vocabulary deployed broadly,Standard EA verbal pattern,Common phrasing
Bay Area Rationalist / EA,Counterfactual / counterfactual impact,phrase,EA-framework vocabulary deployed in conversation,Standard EA verbal pattern,Common phrasing
Bay Area Rationalist / EA,Marginal value / marginal impact,phrase,Economics-derived framework deployed in conversation,Standard community verbal pattern,Common phrasing
